Nome;Exercício 1;Exercício 2;Exercício 3;Exercício 4;Exercício 5;Nota Final;Situação
Aluno_1;6;13;15;20;13;13.4;Aprovado
Aluno_2;19;18;5;19;17;15.6;Aprovado
Aluno_3;14;10;6;19;13;12.4;Aprovado
Aluno_4;10;12;11;3;4;8.0;Reprovado
Aluno_5;7;13;8;10;20;11.6;Aprovado
Aluno_6;20;12;10;12;13;13.4;Aprovado
Aluno_7;6;0;9;8;7;6.0;Reprovado
Aluno_8;18;7;20;3;14;12.4;Aprovado
Aluno_9;10;11;0;11;14;9.2;Reprovado
Aluno_10;10;18;17;8;18;14.2;Aprovado
Aluno_11;20;11;3;12;19;13.0;Aprovado
Aluno_12;3;7;4;15;5;6.8;Reprovado
Aluno_13;7;7;8;5;18;9.0;Reprovado
Aluno_14;2;20;16;9;7;10.8;Aprovado
Aluno_15;20;12;2;12;5;10.2;Aprovado
Aluno_16;1;11;15;6;19;10.4;Aprovado
Aluno_17;11;15;4;18;14;12.4;Aprovado
Aluno_18;5;0;15;18;2;8.0;Reprovado
Aluno_19;1;12;2;16;9;8.0;Reprovado
Aluno_20;20;6;19;12;14;14.2;Aprovado
Aluno_21;0;4;14;12;15;9.0;Reprovado
Aluno_22;11;7;2;20;16;11.2;Aprovado
Aluno_23;11;13;19;1;18;12.4;Aprovado
Aluno_24;16;12;13;9;10;12.0;Aprovado
Aluno_25;9;14;15;12;15;13.0;Aprovado
Aluno_26;15;16;16;8;4;11.8;Aprovado
Aluno_27;14;14;19;0;4;10.2;Aprovado
Aluno_28;14;19;17;13;13;15.2;Aprovado
Aluno_29;18;17;17;15;17;16.8;Aprovado
Aluno_30;11;17;13;19;7;13.4;Aprovado
Aluno_31;19;1;17;14;4;11.0;Aprovado
Aluno_32;2;3;14;0;6;5.0;Reprovado
Aluno_33;4;0;14;16;15;9.8;Aprovado
Aluno_34;18;3;5;12;13;10.2;Aprovado
Aluno_35;6;17;14;14;4;11.0;Aprovado
Aluno_36;20;4;17;15;8;12.8;Aprovado
Aluno_37;8;18;3;15;3;9.4;Reprovado
Aluno_38;6;14;7;1;3;6.2;Reprovado
Aluno_39;17;7;14;16;15;13.8;Aprovado
Aluno_40;3;19;2;10;16;10.0;Aprovado
Aluno_41;13;16;14;7;14;12.8;Aprovado
Aluno_42;17;0;12;19;3;10.2;Aprovado
Aluno_43;8;11;8;2;5;6.8;Reprovado
Aluno_44;20;18;1;11;15;13.0;Aprovado
Aluno_45;1;14;7;19;3;8.8;Reprovado
Aluno_46;19;8;19;15;5;13.2;Aprovado
Aluno_47;14;6;16;13;4;10.6;Aprovado
Aluno_48;6;1;12;15;15;9.8;Aprovado
Aluno_49;11;8;0;20;15;10.8;Aprovado
Aluno_50;7;9;1;16;9;8.4;Reprovado
Aluno_51;14;1;14;10;8;9.4;Reprovado
Aluno_52;2;18;11;16;3;10.0;Aprovado
Aluno_53;13;10;13;18;13;13.4;Aprovado
Aluno_54;16;12;1;0;3;6.4;Reprovado
Aluno_55;3;9;17;11;11;10.2;Aprovado
Aluno_56;17;13;6;14;9;11.8;Aprovado
Aluno_57;7;17;5;17;3;9.8;Aprovado
Aluno_58;3;18;13;13;17;12.8;Aprovado
Aluno_59;1;8;7;0;12;5.6;Reprovado
Aluno_60;5;6;1;12;12;7.2;Reprovado
Aluno_61;9;2;16;14;13;10.8;Aprovado
Aluno_62;3;19;4;6;17;9.8;Aprovado
Aluno_63;17;5;13;14;0;9.8;Aprovado
Aluno_64;11;20;19;19;20;17.8;Aprovado
Aluno_65;1;1;20;9;15;9.2;Reprovado
Aluno_66;9;5;20;13;14;12.2;Aprovado
Aluno_67;3;2;2;5;4;3.2;Reprovado
Aluno_68;13;15;4;13;5;10.0;Aprovado
Aluno_69;15;7;15;11;5;10.6;Aprovado
Aluno_70;14;1;17;10;2;8.8;Reprovado
Aluno_71;7;16;16;19;15;14.6;Aprovado
Aluno_72;13;8;10;18;11;12.0;Aprovado
Aluno_73;7;11;16;1;3;7.6;Reprovado
